0,1,2,3,4,5,6,7,8
ITEM,CALORIES,PROTEIN,FAT,,ITEM,CALORIES,PROTEIN,FAT
,kcal,Grams,Grams,,,kcal,Grams,Grams
CEREALS AND PRODUCTS,,,,,QUINOA,342,12.0,5.0
WHEAT,334,12.2,2.3,,FONIO,338,8.0,3.0
FLOUR OF WHEAT,364,10.9,1.1,,FLOUR OF FONIO,355,9.0,2.2
BRAN OF WHEAT,213,12.1,3.1,,TRITICALE,327,11.6,2.1
MACARONI,367,11.0,1.1,,FLOUR OF TRITICALE,341,11.4,2.1
GERM OF WHEAT,382,29.1,10.7,,CANARY SEED,388,16.0,6.0
BREAD,249,8.2,1.2,,MIXED GRAIN,340,8.0,1.5
BULGUR WHOLEMEAL,345,12.3,2.0,,FLOUR OF MIXED GRAIN,364,10.0,1.1
PASTRY,369,7.4,17.0,,CEREALS NES,340,8.0,1.5
WHEAT STARCH,362,0.5,0.3,,WAFERS,439,9.2,13.1
WHEAT GLUTEN,380,95.0,0.0,,FLOUR OF CEREALS,364,10.0,1.1
RICE PADDY,280,6.0,1.4,,BREAKFAST CEREALS,389,7.4,0.7
RICE HUSKED,357,7.5,1.8,,CEREALS PREPARED NES,364,10.0,1.1
RICE MILLED,360,6.7,0.7,,MIXES AND DOUGHS,393,6.2,12.0
RICE BROKEN,360,6.7,0.7,,FOOD PREPARATIONS FLOUR,377,7.5,2.7
RICE FLOUR,366,6.4,0.8,,,,,
RICE GLUTEN,380,95.0,0.0,,"ROOTS, TUBERS AND PRODUCTS",,,
RICE STARCH,362,0.5,0.3,,POTATOES,67,1.6,0.1
BRAN OF RICE,276,13.3,15.8,,FLOUR OF POTATOES,349,8.5,0.4
BARLEY,332,11.0,1.8,,POTATOES FROZEN,73,1.2,0.0
POT BARLEY,348,9.6,1.1,,POTATO STARCH,362,0.5,0.3
BARLEY PEARLED,346,9.0,1.4,,POTATO TAPIOCA,362,0.5,0.3
BARLEY FLOUR AND GRITS,343,9.2,1.7,,SWEET POTATOES,92,0.7,0.2
MALT OF BARLEY,368,13.1,1.9,,CASSAVA,109,0.9,0.2
MALT EXTRACTS,367,6.0,0.0,,FLOUR OF CASSAVA,338,1.5,0.6
MAIZE,356,9.5,4.3,,CASSAVA TAPIOCA,362,0.5,0.3
GERM OF MAIZE,373,11.1,38.5,,CASSAVA DRIED,255,2.8,0.7
FLOUR OF MAIZE,363,8.4,1.2,,CASSAVA STARCH,362,0.5,0.3
MAIZE GLUTEN,380,95.0,0.0,,YAUTIA (COCOYAM),109,1.7,0.3
STARCH OF MAIZE,362,0.5,0.3,,TARO (COCOYAM),86,1.5,0.2
POP CORN,356,9.5,4.3,,YAMS,101,1.3,0.2
RYE,319,11.0,1.9,,"ROOTS, TUBERS NES",91,1.6,0.2
FLOUR OF RYE,341,9.0,1.8,,FLOUR OF ROOTS AND TUBERS,282,5.0,0.6
OATS,385,13.0,7.5,,"ROOTS, TUBERS DRIED",282,5.0,0.6
OATS ROLLED,384,16.0,6.3,,,,,
MILLET,340,9.7,3.0,,SUGAR AND SYRUPS,,,
FLOUR OF MILLET,340,9.7,3.0,,SUGAR CANE,30,0.2,0.0
SORGHUM,343,10.1,3.3,,SUGAR BEETS,70,1.3,0.1
FLOUR OF SORGHM,343,10.1,3.3,,SUGAR CROPS NES,390,0.0,0.0
BUCKWHEAT,330,11.0,2.0,,"SUGAR, CENTRIFUGAL RAW",373,0.0,0.0
FLOUR OF BUCKWHEAT,344,6.4,1.2,,SUGAR REFINED,387,0.0,0.0
